id,doc_type,text_chunk
doc_63,Judgement,"hirdly, a gift is liable to be revoked in a case where it is in the nature of a contract which could be rescinded. The gift under consideration is not in the form of a contract and the contract, if any, is not liable to be rescinded. Thus, none of the exceptions permitting revocation of the gift deed stands attracted in the present case. Thus, leading to the only conclusion that the gift deed, which was validly made, could not have been revoked in any manner. Accordingly, revocation deed dated 1"
doc_63,Judgement,"7.08.1987 is void ab initio and is of no consequence which has to be ignored. 816. The non-utilisation of the suit property for manufacturing Khadi Lungi and Khadi Yarns etc., the purpose set out in the gift deed, and keeping the same as vacant may be a disobedience of the object of the gift but that by itself would not attract the power to revoke the gift deed. There is no stipulation in the gift deed that if the suit property is not so utilised, the gift would stand revoked or would be revoked"
doc_63,Judgement," at the discretion of the donor. 17. In the end, we come to another limb of the argument that the suit as filed by the plaintiff-respondent is hit by limitation and as such the first appellate court and the High Court manifestly erred in decreeing the same. 18. In context with the point of limitation, the court of first instance has formulated issue no. 4 which reads as under: “Whether the suit is barred by limitation?” 19. Admittedly, the present suit for declaration and recovery of possession "
doc_63,Judgement,"of the suit property was filed by the plaintiff- respondent on 25.09.1991. The court of first instance held that as the same was not filed within three years from the 9date of revocation of the gift deed, i.e., 17.08.1987 (Exhibit B-2), the suit is barred by limitation. 20. Once it is held that the gift deed was validly executed resulting in the absolute transfer of title in favour of the plaintiff-respondent, the same is not liable to be revoked, and as such the revocation deed is meaningless e"
doc_63,Judgement,"specially for the purposes of calculating the period of limitation for instituting the suit. 21. The limitation for a suit for declaration is provided under Part III of the Schedule to the Limitation Act, 1963. It is governed by Articles 56-58 of the Schedule to the Limitation Act. Under all the aforesaid three Articles, the limitation for a suit for declaration is three years. The limitation provided under Articles 56 and 57 of the Schedule to the Limitation Act is in respect to declaration reg"
doc_63,Judgement,"arding forgery of an instrument issued or registered and validity of the adoption deed. Article 58 of the Schedule to the Limitation Act prescribes the limitation for decree of declaration of any other kind and therefore, the suit for declaration of title would essentially fall under Article 58 of the Schedule to the Limitation Act and the 10limitation would be three years from the date when the right to sue first accrues. 22. In the case at hand, the suit is not simply for the declaration of ti"
doc_63,Judgement,"tle rather it is for a further relief for recovery of possession. It is to be noted that when in a suit for declaration of title, a further relief is claimed in addition to mere declaration, the relief of declaration would only be an ancillary one and for the purposes of limitation, it would be governed by the relief that has been additionally claimed. The further relief claimed in the suit is for recovery of possession based upon title and as such its limitation would be 12 years in terms of Ar"
doc_63,Judgement,"ticle 65 of the Schedule to the Limitation Act. 23. --- In C. --- Mohammad Yunus vs. Syed Unnissa And Ors2 it has been laid down that in a suit for declaration with a further relief, the limitation would be governed by the Article governing the suit for such further relief. In fact, a suit for a declaration of title to immovable property would not be barred so long as the right to such a property continues and 2 AIR 1961 SC 808 11subsists. When such right continues to subsist, the relief for dec"
doc_63,Judgement,"laration would be a continuing right and there would be no limitation for such a suit. The principle is that the suit for a declaration for a right cannot be held to be barred so long as Right to Property subsist. 24. Even otherwise, though the limitation for filing a suit for declaration of title is three years as per Article 58 of the Schedule to the Limitation Act but for recovery of possession based upon title, the limitation is 12 years from the date the possession of the defendant becomes "
doc_63,Judgement,"adverse in terms of Article 65 of the Schedule to the Limitation Act. Therefore, suit for the relief of possession was not actually barred and as such the court of first instance could not have dismissed the entire suit as barred by time. 25. No other point was raised and argued before us. 26. Thus, in the totality of the facts and circumstances of the case, we do not find any error or illegality on part of the first appellate court and the High Court in decreeing the suit of the plaintiff-respo"
doc_63,Judgement,"ndent. 1227. Accordingly, the appeal is dismissed as devoid of merit. 28. Pending application(s), if any, stands disposed of. .........………………………….. --- J. (PANKAJ MITHAL) ...……………………………….. J. (UJJAL BHUYAN) NEW DELHI; OCTOBER 24, 2024. 13"
doc_64,Judgement,REPORTABLE 2024 INSC 363 IN THE SUPREME COURT OF INDIA CRIMINAL APPELLATE JURISDICTION CRIMINAL APPEAL NO. OF 2024 (ARISING OUT OF SPECIAL LEAVE PETITION (CRL.) NO. 1074 OF 2017) SHARIF AHMED AND ANOTHER ..... APPELLANTS VERSUS STATE OF UTTAR PRADESH AND ANOTHER ..... RESPONDENTS W I T H CRIMINAL APPEAL NO. OF 2024 (ARISING OUT OF SPECIAL LEAVE PETITION (CRL.) NO. 9482 OF 2021) A N D CRIMINAL APPEAL NO. OF 2024 (ARISING OUT OF SPECIAL LEAVE PETITION (CRL.) NO. 5419 OF 2022) J U D G M E N T SANJI
doc_64,Judgement,"V KHANNA, J. Leave granted in the above matters. --- 2. The concerns which have arisen during the course of hearing the present appeals are of particular significance for meeting the ends of criminal justice, and relate to the nature of chargesheets filed in some jurisdictions by the state/police. For the sake of convenience, we would divide the judgment into two parts. The first part relates to the legal issue, that is, the contents of the chargesheet in terms of Section 173(2) of the Code of C"
doc_64,Judgement,"riminal Procedure, Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 1 of 3819731. The second part deals with the factual aspects of each of the cases, and our decision. PART I 3. The issue in the first part relates to chargesheets being filed without stating sufficient details of the facts constituting the offense or putting the relevant evidence on record. In some states, the chargesheets merely carry a reproduction of the details mentioned by the complainant in the First Information Repor"
doc_64,Judgement,"t2, and then proceed to state whether an offence is made out, or not made out, without any elucidation on the evidence and material relied upon. On this issue, the recent judgment of this Court in Dablu Kujur v. State of Jharkhand3 aptly crystallises the legal position in the following words: “17. Ergo, having regard to the provisions contained in Section 173 it is hereby directed that the Report of police officer on the completion of investigation shall contain the following:— (i) A report in t"
doc_64,Judgement,"he form prescribed by the State Government stating- (a) the names of the parties; (b) the nature of the information; (c) the names of the persons who appear to be acquainted with the circumstances of the case; (d) whether any offence appears to have been committed and, if so, by whom; (e) whether the accused has been arrested; (f) whether he has been released on his bond and, if so, whether with or without sureties; (g) whether he has been forwarded in custody under section 170. (h) Whether the "
doc_64,Judgement,"report of medical examination of the woman has been attached where investigation relates to an offence under sections 376, 376A, 376AB, 376B, 376C, 376D, 376DA, 376DB or section 376E of the Penal Code, 1860” 1 “Code”, for short. 2 “FIR”, for short. --- 3 2024 SCC Online SC 269. Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 2 of 38(ii) If upon the completion of investigation, there is no sufficient evidence or reasonable ground of suspicion to justify the forwarding of the accused to a Ma"
doc_64,Judgement,"gistrate, the Police officer in charge shall clearly state in the Report about the compliance of Section 169 Cr. P.C. (iii) When the report in respect of a case to which Section 170 applies, the police officer shall forward to the Magistrate along with the report, all the documents or relevant extracts thereof on which the prosecution proposes to rely other than those already sent to the Magistrate during investigation; and the statements recorded under Section 161 of all the persons whom the pr"
doc_64,Judgement,"osecution proposes to examine as its witnesses. (iv) In case of further investigation, the Police officer in charge shall forward to the Magistrate a further report or reports regarding such evidence in the form prescribed and shall also comply with the details mentioned in the above sub para (i) to (iii).” 4. The decision in Dablu Kujur (supra) refers to Section 157 of the Code which inter alia states that, if on information received or otherwise, an officer of the police station has reason to "
doc_64,Judgement,"suspect commission of an offence which he is empowered under Section 156 to investigate, he shall forthwith send a report of the same to the Magistrate empowered to take cognisance of the offence. Further, he shall proceed in person or depute any of his subordinate officers to proceed to the spot to investigate the facts and circumstances of the case, and if necessary, to take measures for discovery and arrest the offender. Such report is in the nature of a preliminary report. As per Section 169"
doc_64,Judgement," of the Code, if it appears to the officer in-charge of the police station that there is not sufficient evidence or reasonable ground of suspicion to justify forwarding the accused to the Magistrate, then the officer shall release the person if he is in custody on his executing a bond, with or without sureties, with a direction to Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 3 of 38such person to appear if and when so required, before the Magistrate empowered to take cognisance of the o"
doc_64,Judgement,"ffence from the police report.4 5. Section 170 of the Code deals with the cases where it appears to the officer that there is sufficient evidence or reasonable ground to proceed. In such an event he is required to submit a police report or chargesheet under Section 173(2) of the Code. Elucidating on Section 173(2) of the Code in Dablu Kujur (supra), this Court observed: “12. We are more concerned with Section 173(2) as we have found that the investigating officers while submitting the chargeshee"
doc_64,Judgement,"t/Police Report do not comply with the requirements of the said provision. Though it is true that the form of the report to be submitted under Section 173(2) has to be prescribed by the State Government and each State Government has its own Police Manual to be followed by the police officers while discharging their duty, the mandatory requirements required to be complied with by such officers in the Police Report/Chargesheet are laid down in Section 173, more particularly sub-section (2) thereof"
doc_64,Judgement,". 13. It may be noted that though there are various reports required to be submitted by the police in charge of the police station before, during and after the investigation as contemplated in Chapter XII of Cr. P.C., it is only the report forwarded by the police officer to the Magistrate under sub- section (2) of Section 173 Cr. P.C. that can form the basis for the competent court for taking cognizance thereupon. A chargesheet is nothing but a final report of the police officer under Section 17"
doc_64,Judgement,"3(2) of Cr. P.C. It is an opinion or intimation of the investigating officer to the concerned court that on the material collected during the course of investigation, an offence appears to have been committed by the particular person or persons, or that no offence appears to have been committed. 4 We clarify and respectfully agree with the view expressed by this Court in Siddharth v. State of Uttar Pradesh and Another, (2022) 1 SCC 676, which has interpreted Section 170 of the Code. The word ‘cu"
doc_64,Judgement,"stody’ used in the said Section does not contemplate either police or judicial custody, for otherwise the Section would lead to unpalatable and incongruous consequences. It is observed that in normal and ordinary course, the police should avoid arresting a person and sending him to jail, if it is possible for the police to complete the investigation without his arrest and if every kind of cooperation is provided by the accused to the investigating officer in completing the investigation. The wor"
doc_64,Judgement,"d ‘custody’ in Section 170 has to be interpreted liberally and merely connotes presentation of the accused by the investigating officer. This is because personally liberty is an important aspect of the constitutional mandate. Existence of the power of arrest, and justification for exercise thereof are two different aspects. Section 170 of the Code does not impose an obligation on the officer in-charge to arrest each and every accused before or at the time of filing of the chargesheet. Crl. --- A"
doc_64,Judgement,"ppeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 4 of 38xx xx xx 15. The issues with regard to the compliance of Section 173(2) Cr. P.C., may also arise, when the investigating officer submits Police Report only qua some of the persons-accused named in the FIR, keeping open the investigation qua the other persons-accused, or when all the documents as required under Section 173(5) are not submitted. In such a situation, the question that is often posed before the court is whether such a Police Rep"
doc_64,Judgement,"ort could be said to have been submitted in compliance with sub-section (2) of Section 173 Cr. P.C. In this regard, it may be noted that in Satya Narain Musadi v. State of Bihar, this Court has observed that statutory requirement of the report under Section 173(2) would be complied with if various details prescribed therein are included in the report. The report is complete if it is accompanied with all the documents and statements of witnesses as required by Section 175(5)…” 6. We would like to"
doc_64,Judgement," elaborate on certain aspects, as submission of the chargesheet is for taking cognisance and summoning of the accused by the Magistrate, which stages are of considerable importance and significance. 7. --- Section 173 of the Code reads: “173. Report of police officer on completion of investigation.— (1) Every investigation under this Chapter shall be completed without unnecessary delay. (1A) The investigation in relation to an offence under sections 376, 376A, 376AB, 376B, 376C, 376D, 376DA, 376"
doc_64,Judgement,"DB or 376E of the Indian Penal Code (45 of 1860) shall be completed within two months from the date on which the information was recorded by the officer in charge of the police station. (2) (i) As soon as it is completed, the officer in charge of the police station shall forward to a Magistrate empowered to take cognizance of the offence on a police report, a report in the form prescribed by the State Government, stating— (a) the names of the parties; (b) the nature of the information; (c) the n"
doc_64,Judgement,"ames of the persons who appear to be acquainted with the circumstances of the case; (d) whether any offence appears to have been committed and, if so, by whom; Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 5 of 38(e) whether the accused has been arrested; (f) whether he has been released on his bond and, if so, whether with or without sureties; (g) whether he has been forwarded in custody under section 170. (h) whether the report of medical examination of the woman has been attached wher"
doc_64,Judgement,"e investigation relates to an offence under [sections 376, 376A, 376AB, 376B, 376C, 376D, 376DA, 376DB or section 376E of the Indian Penal Code (45 of 1860). (ii) The officer shall also communicate, in such manner as may be prescribed by the State Government, the action taken by him, to the person, if any, by whom the information relating to the commission of the offence was first given. (3) Where a superior officer of police has been appointed under section 158, the report shall, in any case in"
doc_64,Judgement," which the State Government by general or special order so directs, be submitted through that officer, and he may, pending the orders of the Magistrate, direct the officer in charge of the police station to make further investigation. (4) Whenever it appears from a report forwarded under this section that the accused has been released on his bond, the Magistrate shall make such order for the discharge of such bond or otherwise as he thinks fit. (5) When such report is in respect of a case to whi"
doc_64,Judgement,"ch section 170 applies, the police officer shall forward to the Magistrate along with the report— (a) all documents or relevant extracts thereof on which the prosecution proposes to rely other than those already sent to the Magistrate during investigation; (b) the statements recorded under section 161 of all the persons whom the prosecution proposes to examine as its witnesses. (6) If the police officer is of opinion that any part of any such statement is not relevant to the subject-matter of th"
doc_64,Judgement,"e proceedings or that its disclosure to the accused is not essential in the interests of justice and is inexpedient in the public interest, he shall indicate that part of the statement and append a note requesting the Magistrate to exclude that part from the copies to be granted to the accused and stating his reasons for making such request. (7) Where the police officer investigating the case finds it convenient so to do, he may furnish to the accused copies of all or any of the documents referr"
doc_64,Judgement,"ed to in sub-section (5). Crl. --- Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 6 of 38(8) Nothing in this section shall be deemed to preclude further investigation in respect of an offence after a report under sub-section (2) has been forwarded to the Magistrate and, where upon such investigation, the officer in charge of the police station obtains further evidence, oral or documentary, he shall forward to the Magistrate a further report or reports regarding such evidence in the form prescr"
doc_64,Judgement,"ibed; and the provisions of sub-sections (2) to (6) shall, as far as may be, apply in relation to such report or reports as they apply in relation to a report forwarded under sub-section (2)”. 8. Sub-section (2) to Section 173 makes a considered departure from sub- Section (1) to Section 173 of the Code of Criminal Procedure, 18985. Sub- section (1)(a) to Section 173 of the 1898 Code had stipulated that as soon as the investigation is completed, the officer in-charge of the police station shall "
